TPR,PPID,Station,Date
RLC_SH,CN0CJ0VT129638A3045F,QC3,2020-11-26
RLC_SH,CN0CJ0VT129638CK054D,QC3,2020-11-26
RLC_SH,CN0CT6F5129638980426,QC3,2020-11-26
RLC_SH,CN0CWDR5CMK008AE01A1,QC3,2020-11-26
RLC_SH,CN0D4V7M1296395O0737,QC3,2020-11-26
RLC_SH,CN0D4V7M129639660946,QC3,2020-11-26
RLC_SH,CN0D54K412963824041E,QC3,2020-11-26
RLC_SH,CN0D7RWT12963089002D,QC3,2020-11-26
RLC_SH,CN0DMMW9CMK008CTA0AA,QC3,2020-11-26
RLC_SH,CN0F31KV129638770761,QC3,2020-11-26
RLC_SH,CN0F31KV1296388501B2,QC3,2020-11-26
RLC_SH,CN0F68DX129638160195,QC3,2020-11-26
RLC_SH,CN0FCXY21296397800D9,QC3,2020-11-26
RLC_SH,CN0FTY9PCMK0086B0148,QC3,2020-11-26
RLC_SH,CN0GNCRJ1296307300EC,QC3,2020-11-26
RLC_SH,CN0GRVPW1296378F00B3,QC3,2020-11-26
RLC_SH,CN0GRVPW129637CI014E,QC3,2020-11-26
RLC_SH,CN0GRVPW1296382N11D0,QC3,2020-11-26
RLC_SH,CN0GRVPW129638360A89,QC3,2020-11-26
RLC_SH,CN0H0K2P129637BN0085,QC3,2020-11-26
RLC_SH,CN0H0K2PCMK0086FA101,QC3,2020-11-26
RLC_SH,CN0H127XCMK0094BA00A,QC3,2020-11-26
RLC_SH,CN0H127XCMK0097MA003,QC3,2020-11-26
RLC_SH,CN0HR6NN1296393G00BC,QC3,2020-11-26
RLC_SH,CN0J9HWG1296386U00A2,QC3,2020-11-26
RLC_SH,CN0J9HWG1296387700FC,QC3,2020-11-26
RLC_SH,CN0K6HRJ129638BN0381,QC3,2020-11-26
RLC_SH,CN0K6HRJ129638CH0311,QC3,2020-11-26
RLC_SH,CN0KJH4R1296397N0AF4,QC3,2020-11-26
RLC_SH,CN0M3H2V1296389L07CE,QC3,2020-11-26
RLC_SH,CN0M51N81296305L0830,QC3,2020-11-26
RLC_SH,CN0M51N8CMK00062A006,QC3,2020-11-26
RLC_SH,CN0M51N8CMK000A8A1DE,QC3,2020-11-26
RLC_SH,CN0M51N8CMK000A8A1EA,QC3,2020-11-26
RLC_SH,CN0M7N661296386R010B,QC3,2020-11-26
RLC_SH,CN0MJG0612963879128E,QC3,2020-11-26
RLC_SH,CN0MJVNX1296303R087F,QC3,2020-11-26
RLC_SH,CN0MJVNX12963045032F,QC3,2020-11-26
RLC_SH,CN0MJVNX12963045043C,QC3,2020-11-26
RLC_SH,CN0MJVNX1296398F068D,QC3,2020-11-26
RLC_SH,CN0MXW44CMK0084O004C,QC3,2020-11-26
RLC_SH,CN0MYGCD1296387S0037,QC3,2020-11-26
RLC_SH,CN0N1RRT1296396O0C63,QC3,2020-11-26
RLC_SH,CN0N798X1296385100D9,QC3,2020-11-26
RLC_SH,CN0NHF301296383V038A,QC3,2020-11-26
RLC_SH,CN0NJC761296377D0670,QC3,2020-11-26
RLC_SH,CN0NN9Y8129639C201A1,QC3,2020-11-26
RLC_SH,CN0NPPYW1296386M0034,QC3,2020-11-26
RLC_SH,CN0NPPYW1296387803C3,QC3,2020-11-26
RLC_SH,CN0NPPYW129638830300,QC3,2020-11-26
RLC_SH,CN0NPPYW129638870121,QC3,2020-11-26
RLC_SH,CN0NPPYW1296388F025A,QC3,2020-11-26
RLC_SH,CN0NPPYW1296388F02FD,QC3,2020-11-26
RLC_SH,CN0NPPYW1296389C031F,QC3,2020-11-26
RLC_SH,CN0NPPYW129638AC0FEE,QC3,2020-11-26
RLC_SH,CN0PHP7P1296386G0008,QC3,2020-11-26
RLC_SH,CN0PHP7P1296389H0054,QC3,2020-11-26
RLC_SH,CN0PHP7P1296389S00C9,QC3,2020-11-26
RLC_SH,CN0PHP7P129638AH05CD,QC3,2020-11-26
RLC_SH,CN0PHP7P1296391201F1,QC3,2020-11-26
