
2XPX8,CAZ41,"Kirkwood 13",1.2,1.13.0,A01,DTP,"\",UMA,I7-7600U,"\","2019-01-09 09:20:50"
2Y11G,CAZ20,"SteamBoat 14(Commercial)",1.7,1.15.1,A07,DTP,A00-A01,UMA,KI3-7100U,"\","2019-09-30 05:47:57"
2Y51T,AAPB0,"Miramar 17",2.1,1.16.3,A17,TPM,A00-A02,DSC,E3-1545MV5,"\","2019-02-26 17:40:11"
2YNM3,DDM60,"Breckenridge 12 MLK",1.0,1.10.1,,TPM,,UMA,I5-8350,,"2019-08-21 09:41:32"
2YNVK,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,DTP,,UMA,I3-7130,,"2019-09-12 10:17:40"
2YV8T,ZAM60,"Houston 12(E6)",2.3,A15,A12,DTP,A05,"\",I5-4300,DOCK,2017/8/3
2YX3C,ZBZ00,"Goliad MLK 12 (E6)",1.9,21.1.1,A13,TPM,A06,UMA,I5-5200U,"NO DOCK","2019-12-10 08:57:43"
309DP,VAUA0,"Goliad 14 (Commercial)",1.9,A21,A14,TPM,"\","\","\","\",2017/8/14
309W1,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,DTP,"A00-A01
","\",KI7-7600UV,"\","2019-09-24 14:03:45"
319GT,EDB41,"Spyglass 14",1.0,"1.7.7
",A00,TPM,A01,UMA,I5,"\","2019-11-04 08:50:10"
31HKY,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,TPM,A00,UMA,I5-4300,"\",2017/8/29
31K3N,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,,DTP,,UMA,I3-8130U,,"2019-08-21 09:41:32"
31PG4,DDP80,"Breckenridge 15H MLK",1.0,1.9.0,,TPM,,UMA,I5-8400HV,,"2019-08-21 09:43:33"
31V07,CDP80,"Breckenridge 15H",1.5,1.16.0,,TPM,,UMA,KI5-7300H,,"2019-09-24 14:11:17"
323MP,ADP81,"Park City 15""-P",2.1,1.21.6,A16,DTP,A04,DSC,E3-1505MV,"\","2019-11-29 14:54:25"
32P2K,AAU30,"Celtic 13",1.8,1.16.4,A12,DTP,A00,UMA,6Y75,"\","2019-06-19 17:55:28"
334P6,QAL70,"Dalmore-13
(commercial)",2.4,A06,A06,TPM,"\","\","\","\",2016/6/2
34C90,QXW00,"Korbel 14
(commercial)",1.5,A13,A13,TPM,"\","\","\","\",2016/6/2
3586G,ZAM70,"Houston 14 UMA(E6)",2.3,A15,A15,DTP,A05,UMA,2981U,DOCK,2017/8/3
358D6,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,TPM,A00,UMA,I5-4310,"\",2017/8/29
35JKV,QAR00,"VANS 15
(commercial)",1.9,A10,A10,TPM,"\","\","\","\",2016/6/2
363DF,CAJ00,ASPEN(Commercial),1.0,1.7.7,A01,TPM,"\",UMA,"\","\","2019-11-04 08:46:30"
